branch_id,ending,macro_topic_name,toxicity,stance,cross_partisan
0,disagreement,Trump,0.0323,1.0,False
0,disagreement,Other,0.0323,1.0,False
0,disagreement,Other,0.0323,1.0,False
1,inconclusive,Media Bias,0.06,1.0,False
1,inconclusive,Other,0.06,1.0,False
1,inconclusive,Other,0.06,1.0,False
2,disagreement,Other,0.3404,1.0,False
2,disagreement,Other,0.3404,1.0,False
2,disagreement,Other,0.3404,1.0,False
3,inconclusive,Other,0.1634,1.0,True
3,inconclusive,Other,0.1634,1.0,True
3,inconclusive,Other,0.1634,1.0,True
4,disagreement,Other,0.2051,1.0,False
4,disagreement,Other,0.2051,1.0,False
4,disagreement,Other,0.2051,1.0,False
5,inconclusive,Other,0.1195,1.0,False
5,inconclusive,Trump,0.1195,1.0,False
5,inconclusive,Other,0.1195,1.0,False
6,inconclusive,Other,0.2339,1.0,False
6,inconclusive,Other,0.2339,1.0,False
6,inconclusive,Other,0.2339,1.0,False
7,inconclusive,Other,0.0737,1.0,False
7,inconclusive,Other,0.0737,1.0,False
7,inconclusive,Other,0.0737,1.0,False
8,disagreement,Interviews/Podcasts,0.1691,1.0,False
8,disagreement,Interviews/Podcasts,0.1691,1.0,False
8,disagreement,Other,0.1691,1.0,False
9,disagreement,Other,0.0473,1.0,False
9,disagreement,Other,0.0473,1.0,False
9,disagreement,Other,0.0473,1.0,False
10,inconclusive,Other,0.1675,1.0,False
10,inconclusive,Other,0.1675,1.0,False
10,inconclusive,Other,0.1675,1.0,False
11,inconclusive,Other,0.1935,1.0,False
11,inconclusive,Other,0.1935,1.0,False
11,inconclusive,Other,0.1935,1.0,False
12,inconclusive,Other,0.1381,1.0,False
12,inconclusive,Other,0.1381,1.0,False
12,inconclusive,Other,0.1381,1.0,False
13,disagreement,Other,0.2252,1.0,False
13,disagreement,Other,0.2252,1.0,False
13,disagreement,Other,0.2252,1.0,False
13,disagreement,Other,0.2252,1.0,False
14,inconclusive,Other,0.0319,1.0,False
14,inconclusive,Other,0.0319,1.0,False
14,inconclusive,Other,0.0319,1.0,False
15,disagreement,Other,0.0522,1.0,False
15,disagreement,Other,0.0522,1.0,False
15,disagreement,Other,0.0522,1.0,False
16,inconclusive,Other,0.2163,1.0,False
16,inconclusive,Other,0.2163,1.0,False
16,inconclusive,Other,0.2163,1.0,False
17,inconclusive,Other,0.1124,1.0,False
17,inconclusive,Other,0.1124,1.0,False
17,inconclusive,Other,0.1124,1.0,False
18,inconclusive,Other,0.2507,1.0,False
18,inconclusive,Other,0.2507,1.0,False
18,inconclusive,Other,0.2507,1.0,False
19,agreement,Other,0.0788,1.0,False
19,agreement,Other,0.0788,1.0,False
19,agreement,Other,0.0788,1.0,False
20,inconclusive,Other,0.1538,1.0,True
20,inconclusive,Other,0.1538,1.0,True
20,inconclusive,Other,0.1538,1.0,True
21,inconclusive,Other,0.0902,1.0,False
21,inconclusive,Other,0.0902,1.0,False
21,inconclusive,Other,0.0902,1.0,False
22,inconclusive,Other,0.0781,1.0,False
22,inconclusive,Other,0.0781,1.0,False
22,inconclusive,Other,0.0781,1.0,False
23,disagreement,Other,0.0891,1.0,True
23,disagreement,Other,0.0891,1.0,True
23,disagreement,Other,0.0891,1.0,True
24,disagreement,Other,0.1612,1.0,False
24,disagreement,Other,0.1612,1.0,False
24,disagreement,Other,0.1612,1.0,False
25,disagreement,Other,0.182,1.0,False
25,disagreement,Other,0.182,1.0,False
25,disagreement,Other,0.182,1.0,False
