branch_id,ending,macro_topic_name
0,disagreement,Trump
0,disagreement,Other
0,disagreement,Other
1,inconclusive,Media Bias
1,inconclusive,Other
1,inconclusive,Other
2,disagreement,Other
2,disagreement,Other
2,disagreement,Other
3,inconclusive,Other
3,inconclusive,Other
3,inconclusive,Other
4,disagreement,Other
4,disagreement,Other
4,disagreement,Other
5,inconclusive,Other
5,inconclusive,Trump
5,inconclusive,Other
6,inconclusive,Other
6,inconclusive,Other
6,inconclusive,Other
7,inconclusive,Other
7,inconclusive,Other
7,inconclusive,Other
8,disagreement,Interviews/Podcasts
8,disagreement,Interviews/Podcasts
8,disagreement,Other
9,disagreement,Other
9,disagreement,Other
9,disagreement,Other
10,inconclusive,Other
10,inconclusive,Other
10,inconclusive,Other
11,inconclusive,Other
11,inconclusive,Other
11,inconclusive,Other
12,inconclusive,Other
12,inconclusive,Other
12,inconclusive,Other
13,disagreement,Other
13,disagreement,Other
13,disagreement,Other
13,disagreement,Other
14,inconclusive,Other
14,inconclusive,Other
14,inconclusive,Other
15,disagreement,Other
15,disagreement,Other
15,disagreement,Other
16,inconclusive,Other
16,inconclusive,Other
16,inconclusive,Other
17,inconclusive,Other
17,inconclusive,Other
17,inconclusive,Other
18,inconclusive,Other
18,inconclusive,Other
18,inconclusive,Other
19,agreement,Other
19,agreement,Other
19,agreement,Other
20,inconclusive,Other
20,inconclusive,Other
20,inconclusive,Other
21,inconclusive,Other
21,inconclusive,Other
21,inconclusive,Other
22,inconclusive,Other
22,inconclusive,Other
22,inconclusive,Other
23,disagreement,Other
23,disagreement,Other
23,disagreement,Other
24,disagreement,Other
24,disagreement,Other
24,disagreement,Other
25,disagreement,Other
25,disagreement,Other
25,disagreement,Other
25,disagreement,Other
26,disagreement,Other
26,disagreement,Other
26,disagreement,Other
27,disagreement,Other
27,disagreement,Other
27,disagreement,Other
27,disagreement,Other
28,disagreement,Other
28,disagreement,Other
28,disagreement,Other
28,disagreement,Other
29,disagreement,Other
29,disagreement,Other
29,disagreement,Other
30,disagreement,Other
30,disagreement,Other
30,disagreement,Other
30,disagreement,Other
31,disagreement,Other
31,disagreement,Other
31,disagreement,Other
32,disagreement,Other
32,disagreement,Other
32,disagreement,Other
33,disagreement,Other
33,disagreement,Other
33,disagreement,Ukraine War
34,disagreement,Other
34,disagreement,Other
34,disagreement,Other
34,disagreement,Other
35,disagreement,Other
35,disagreement,Other
35,disagreement,Media Bias
35,disagreement,Other
36,disagreement,Other
36,disagreement,Other
36,disagreement,Other
36,disagreement,Other
37,disagreement,Other
37,disagreement,Other
37,disagreement,Other
38,disagreement,Other
38,disagreement,Other
38,disagreement,Other
39,disagreement,Other
39,disagreement,Other
39,disagreement,Other
40,disagreement,Other
40,disagreement,Other
40,disagreement,Other
41,inconclusive,Other
41,inconclusive,Other
41,inconclusive,Other
42,disagreement,Other
42,disagreement,Other
42,disagreement,Other
42,disagreement,Other
43,agreement,Other
43,agreement,Other
43,agreement,Other
44,disagreement,Other
44,disagreement,Other
44,disagreement,Other
45,inconclusive,Other
45,inconclusive,Other
45,inconclusive,Other
46,disagreement,Other
46,disagreement,Other
46,disagreement,Other
47,disagreement,Interviews/Podcasts
47,disagreement,Other
47,disagreement,Other
48,disagreement,Other
48,disagreement,Other
48,disagreement,Other
49,disagreement,Other
49,disagreement,Trump
49,disagreement,Other
49,disagreement,Other
50,disagreement,Other
50,disagreement,Other
50,disagreement,Other
51,inconclusive,Other
51,inconclusive,Other
51,inconclusive,Other
52,disagreement,Other
52,disagreement,Other
52,disagreement,Other
53,inconclusive,Other
53,inconclusive,Other
53,inconclusive,Other
54,disagreement,Other
54,disagreement,Other
54,disagreement,Other
55,inconclusive,Other
55,inconclusive,Other
55,inconclusive,Other
56,disagreement,Other
56,disagreement,Other
56,disagreement,Other
57,disagreement,Other
57,disagreement,Other
57,disagreement,Other
58,inconclusive,Other
58,inconclusive,Other
58,inconclusive,Other
58,inconclusive,Other
59,disagreement,Other
59,disagreement,Other
59,disagreement,Other
59,disagreement,Other
60,disagreement,Other
60,disagreement,Other
60,disagreement,Other
61,inconclusive,Other
61,inconclusive,Other
61,inconclusive,Other
62,disagreement,Other
62,disagreement,Other
62,disagreement,Other
