branch_id,topics,ending
0,Trump support - Media bypass - Popularity assessment,disagreement
1,Media bias - Trump's communication - Interview strategy,inconclusive
2,Trump mugshot - Political humor - Brainwashing accusation,disagreement
3,Trump merchandise - Canadian politics - Political affiliation,inconclusive
4,Trump merchandise - Trump's future influence - Disinformation claims,disagreement
5,Trump mugshot merchandise - Trump's policies - Trump's personality,inconclusive
6,Trump mugshot shirt - humor in politics - political opinions,inconclusive
7,interview request - video timestamps - transcript search,inconclusive
8,Trump interview - Interview quality - Media training,disagreement
9,Joe Rogan podcast - Trump on Rogan's show - Podcast guest selection,disagreement
10,Joe Rogan interview - Trump interview location - Spotify censorship,inconclusive
11,Joe Rogan interview - Trump self-promotion - Political candidates on Rogan's show,inconclusive
12,Trump's speech - Media portrayal of Trump - Fact vs. perception,inconclusive
13,Trump's communication style - Biden's communication style - Media criticism - Trump's legal issues,disagreement
14,Logan Paul's achievements - WWE belt validity - Professional wrestling athleticism,inconclusive
15,Logan Paul's accomplishments - WWE belt legitimacy - Contribution to society,disagreement
16,host's nervousness - user's arousal - insulting comment,inconclusive
17,Joe Rogan interview - Interviewing skills - Personal attacks,inconclusive
18,heroin recovery - jealousy - personal insults,inconclusive
19,Mike's sobriety - Passive-aggressive comment - Congratulatory message,agreement
20,Mike's recovery - Passive-aggressive comment - User's intentions,inconclusive
21,Heroin recovery - Book writing - Positive comment interpretation,inconclusive
22,quitting heroin - book writing - passive-aggressive comment,inconclusive
23,Joe Rogan podcast guests - Trump on Impaulsive - Joe Rogan's political leanings,disagreement
24,Trump's statement on dying - Putin's actions - Trump's stance on Ukraine/Russia,disagreement
25,Trump's statement - Putin's actions - Political bias - Knowledge of Putin,disagreement
26,Trump's statement - Putin and Ukraine - Political disagreement,disagreement
27,Trump's statement - Putin's actions - Trump's supporters/critics - disinfectant,disagreement
28,Trump's statement - Putin's actions - accusations of bias - political insults,disagreement
29,Trump's statement - Putin's actions - Trump's supporters,disagreement
30,Trump's statement on dying - Putin's actions - Accusations of cult membership - Ukraine conflict,disagreement
31,Trump's statement - Putin winning - US involvement in Ukraine,disagreement
32,Trump's statement - Putin's actions - US foreign policy,disagreement
33,Trump's statement - Putin's actions - Ukraine war,disagreement
34,Trump's statement - Putin's actions - accusations of irrationality - disinfectant comment,disagreement
35,Trump's statement - Putin's actions - media bias - Trump's supporters,disagreement
36,Trump's statement - Putin's actions - accusations of incoherence - disinfectant,disagreement
37,Trump's statement - Putin and Trump - accusations and insults,disagreement
38,Trump's statement - Putin's actions - Political implications of Ukraine war,disagreement
39,Trump's intentions - Ukraine conflict - Political blame,disagreement
40,Trump's statements - Putin's actions - Political motivations,disagreement
41,YouTube algorithm - search results - Logan Paul interview,inconclusive
