branch_id,toxicity
0,0.0323
1,0.0600
2,0.3404
3,0.1634
4,0.2051
5,0.1195
6,0.2339
7,0.0737
8,0.1691
9,0.0473
10,0.1675
11,0.1935
12,0.1381
13,0.2252
14,0.0319
15,0.0522
16,0.2163
17,0.1124
18,0.2507
19,0.0788
20,0.1538
21,0.0902
22,0.0781
23,0.0891
24,0.1612
25,0.1820
26,0.1978
27,0.2112
28,0.1696
29,0.1869
30,0.1463
31,0.1734
32,0.1821
33,0.1566
34,0.2354
35,0.1698
36,0.2423
37,0.1783
38,0.1461
39,0.1755
40,0.1859
41,0.0362
42,0.1788
43,0.0482
44,0.1784
45,0.0925
46,0.0939
47,0.2070
48,0.2364
49,0.1853
50,0.1470
51,0.1805
52,0.1451
53,0.0663
54,0.2135
55,0.1271
56,0.0937
57,0.1478
58,0.1312
59,0.1598
60,0.1434
61,0.1339
62,0.1441
63,0.1539
64,0.3103
65,0.2304
66,0.0453
67,0.0579
68,0.2343
69,0.1607
70,0.1900
71,0.2520
72,0.1219
73,0.1990
74,0.1820
75,0.1900
76,0.0252
77,0.0640
78,0.0618
79,0.1531
80,0.0439
81,0.2456
82,0.0270
83,0.1100
84,0.1097
85,0.1539
86,0.0376
87,0.0918
88,0.1520
89,0.2526
90,0.3044
91,0.2655
92,0.3293
93,0.2695
94,0.2871
95,0.3087
96,0.3092
97,0.2683
98,0.4067
99,0.3986
100,0.3329
101,0.4111
102,0.2802
103,0.2563
104,0.2744
105,0.2845
106,0.3068
107,0.2667
108,0.2796
109,0.2694
110,0.2575
111,0.2805
112,0.2589
113,0.0265
114,0.0615
115,0.1692
116,0.2128
117,0.1954
118,0.0207
119,0.1024
120,0.2313
121,0.0955
122,0.0907
123,0.0882
124,0.1344
125,0.1484
126,0.1265
127,0.0715
128,0.0830
129,0.1067
130,0.0679
131,0.0669
132,0.0254
133,0.1955
134,0.0194
135,0.1739
136,0.2024
137,0.1467
138,0.1155
139,0.0920
140,0.0779
141,0.1568
142,0.1291
143,0.0836
144,0.0333
145,0.2694
146,0.0798
147,0.1430
148,0.0514
149,0.0803
150,0.1204
151,0.0776
152,0.1960
153,0.1671
154,0.0559
155,0.2763
156,0.0898
157,0.0704
158,0.0793
159,0.1619
160,0.2013
161,0.1258
162,0.1420
163,0.0793
164,0.2137
165,0.0404
166,0.1405
167,0.1385
168,0.0961
169,0.1232
